account_id,unstaked_balance,staked_balance,can_withdraw
sdfafsdafasdf.testnet,1,31856271954646799589270246,True
nearpoc1.testnet,1,3185627195464679958927021,True
meta-v2.pool.testnet,0,158176856115302943764010139155,True
nearpoc2.testnet,6,19075121478236867708885805,True
smokeweed.testnet,1,13663850956479996911948598,True
dntest2.testnet,1,126707830603943687361186683,True
laukangyang.testnet,1,629844416068762658911234197,True
mynearaccount.testnet,1,629844416068762658911234197,True
erc21.testnet,1000000000000000000000001,0,True
anhtrum19816.testnet,1,47236071942316880263622305,True
ihab.testnet,116000000000000000000000003,7487590451931635165148303,True
belial.testnet,432530685138148380716803182,0,True
characters2904.testnet,1,15625132538042610383030263,True
denysecrista9322.testnet,1,622646716098110531886539836,True
celestelatrice7442.testnet,1,622646716098110531886539836,True
rosettetyner195.testnet,1,622646716098110531886539836,True
rydek.testnet,226828435664590087789041081,0,True
temekaingrid7236.testnet,1,622646716098110531886539836,True
tereasavanesa5432.testnet,1,622646716098110531886539836,True
wyattstamps9741.testnet,1,622646716098110531886539836,True
jeanettadaigle5820.testnet,1,622646716098110531886539836,True
toshahelms1348.testnet,1,622646716098110531886539836,True
ritaespinosa3273.testnet,1,621402236967145601855453194,True
nakishareanna1353.testnet,1,621402236967145601855453194,True
linkeo.testnet,378571552180687843342413723,0,True
quyetdao.testnet,2,21043929676907278270851597,True
icecatchi1.testnet,1,146632108106857738539732295,True
zkenkyo.testnet,2,613290011216838515326149588,True
igorfroehner.testnet,115240529059767388087827888,0,True
santosh17.testnet,2,20942744557776344634083644,True
leminhngoc.testnet,1,523277801804804396219383107,True
andra.testnet,1,576360827968003131802464154,True
chestedos.testnet,1,2995272886557718156503671,True
piter1771.testnet,2,231453272149257416313108,True
htrung19911991.testnet,1,298646183514551179697655747,True
thai2001.testnet,2,594354441264593176648261329,True
cocochan.testnet,1,1178250157750624048201823308,True
mybloomingpath.testnet,2,500748088086523613076480925,True
fghostz3324.testnet,56332861510246359447471803,0,True
armani21.testnet,1,73519491462315575225637192,True
mikroskeem2.testnet,197839589323646602219176343,0,True
mikroskeem.testnet,202912399306304207404283429,0,True
0403lerik.testnet,1,109486722867668194555417483,True
fcb.testnet,1,579911530219163915982534295,True
zemnik49.testnet,2,355362568238171670644745608,True
colinstreamingfast.testnet,1,2454981459274689982809485,True
imanmulyana.testnet,1,401080900695296565925671705,True
tanhoang93.testnet,11,20018667901478553858264941042,True
wuzgut.testnet,1,28293359449168868205203257,True
ssunny1210.testnet,1,561628218449330861424012142,True
olivier.testnet,50000000000000000000000003,149118812679605460692324931,True
gonbadger.testnet,2,139536173731614677906377971,True
usteel_81.testnet,1,271525952294867372606754810,True
831494b06637416ea50aaa77f0810ba508d11a02f2c8ed28c68a1c587db51435,1,257252749465588065197311857,True
federico3a.testnet,1,13305035465416664475207214,True
redsquare.testnet,0,294289646389026562625768,True
test-playwright-account-1632257139969-877,2,200478542861485567517913,True
cryptostew94.testnet,152594384628280504999622640,0,True
aldillo96.testnet,192455685670867549757208906,0,True
brixton21.testnet,131428714267907063341011,0,True
anurag0002.testnet,1,520380075029260208101421801,True
ninhbinh.testnet,2,526658430335427189824205539,True
bubu007.testnet,200528001505345220528752343,0,True
helloworld04.testnet,2,362653531535440026496967,True
vanmanh288.testnet,1,27870761528072942761623272,True
fuzuli.testnet,672029269576941170448399,0,True
near97.testnet,2,395691587205512116355529388,True
huybien1.testnet,1,53090099454266251156729130,True
conan4.testnet,1,26710451768708840279665846,True
halilgeo27.testnet,92823784740009907175696,0,True
nebotest77.testnet,1,23708679962438315802671768,True
leminhductestnet2.testnet,100240539126285758638039291,0,True
tiwoxiaozhang42.testnet,1,110113789896758927640672068,True
ikeanoabc.testnet,1,518956661400038690347370982,True
revenkop.testnet,1,513112525993444807450934,True
aju123.testnet,18152841950694494902306648,0,True
pablo.testnet,200025906136395708986594509,0,True
coleg702.testnet,117835722653877397515754,0,True
2zerominik.testnet,1,287327240597325916618161777,True
khoingn.testnet,1,342953994168904938384130,True
vanmanh260.testnet,2,4200708982269145094342115,True
vanmanh261.testnet,5,135011452543654924567732144,True
lienphamp1.testnet,2,512455410086803277678664711,True
haiphong1.testnet,2,14785176043490939139923872,True
danghlam.testnet,2,600774283425619075674750163,True
vanmanh262.testnet,2,1641297821079797715770347,True
tuyennd126.testnet,1,39419646929754098282974207,True
admin89.testnet,600598994838809980320834177,0,True
zfr03.testnet,1,523970803055593416781563555,True
phamquang286.testnet,1,522271925874168148180816290,True
syanchuk.testnet,1,504697046568722211981845979,True
demigold1.testnet,2,523965228602333163391181353,True
vikram.testnet,328752047426627544031625833,0,True
tunghuynhtn.testnet,1,524896407913736832342528936,True
whitesean.testnet,1,18750244504212924377573348,True
chajoin.testnet,1,523973065267057817449439356,True
importand.testnet,2,523284579521752507916975108,True
sukablyat.testnet,2,337643842606348845492565,True
nawiarjo.testnet,1,257533572866937581150093656,True
haibird.testnet,1,183472348122834515352725691,True
rahulsoni.testnet,2,523284579521752507916975108,True
kawaki.testnet,1,26178430697220430792604559,True
zking.testnet,1,522643094035651566916721546,True
wwf88.testnet,1,261784306972204307926045601,True
vanmanh273.testnet,2,62828233673329033902250940,True
vanmanh275.testnet,2,28796273766942473871865012,True
vanmanh278.testnet,2,41885489115552689268167292,True
vanmanh279.testnet,2,49739018324718818505948661,True
vanmanh283.testnet,1,26178430697220430792604559,True
vanmanh285.testnet,2,57592547533884947743730029,True
cuong5495.testnet,1,2617843069722043079260453,True
abdullacanhd.testnet,2,522645350524556821647355206,True
opera1.testnet,1,522647607013462076377988870,True
vanmanh292.testnet,2,28758832773205880252431190,True
lecongminh.testnet,2,2614439343018716386584650,True
vanmanh296.testnet,1,5228878686037432773169305,True
vanmanh299.testnet,1,26144393430187163865846539,True
vanmanh298.testnet,4,83662058976598924370708920,True
zhangkl.testnet,1,256215055615834205885296089,True
lamsaota.testnet,1,340535165018370334684015,True
sendingman.testnet,1,51366607147619374467717869,True
bestiehere.testnet,1,521965805613509553359375211,True
mrherenow.testnet,1,521965805490061807036530832,True
satoshison.testnet,1,521965805582114677375939891,True
satoshisatishi.testnet,1,521965805613509553359375211,True
johnarrow.testnet,1,521965805613509553359375211,True
kiemtienonline360.testnet,1,490996291184568297277330085346,True
dharam598.testnet,100581728641730944573,0,True
glazingagent.testnet,5,993791725199424045884975749,True
ahmetozyilmaz.testnet,204268820377599249514121156,362659804422622095766552,True
ngocthuy8622.testnet,2,520954308776019091551750911,True
sundar.testnet,244642690643565951560479646,0,True
jayesmith75.testnet,2,520954308776019091551750911,True
tiwoxiaozhang26.testnet,1,110113789896758927640672068,True
workings.testnet,2,520954308776019091551750911,True
jccvb.testnet,2,520954308776019091551750911,True
mamaboy.testnet,1,12019645765219998272922561,True
buiphuongdung.testnet,199647319035075000000000001,0,True
tiep1293.testnet,1,314616615025942030737850,True
raviy5570.testnet,1,361675159052275792690614,True
burn4363.testnet,1,331809220338023882783371,True
duygdkid.testnet,1,520951015602763645071387899,True
nabeel.testnet,1,51204754855040497361699105,True
test-playwright-account-1630945513799-170.esaminu.testnet,200000000000000000000001,0,True
debroy.testnet,2,204400027149777201003016983,True
ngaduc.testnet,1,520622880955158425734960145,True
khoafarmer99.testnet,1,403240389120439144347022722,True
theblindsinner.testnet,797579872956275000000000001,0,True
lenghi7979.testnet,1,130324271531745187325654070,True
vpss1780.testnet,123637783896554006653259,0,True
triminhcn2021.testnet,1,336277692009072627692100,True
huycn2021.testnet,2,314311167125607135342832,True
federico3a2.testnet,35772214961583754163372682,0,True
jorzyrockz.testnet,1,519687635143045657999816991,True
kimthu8386.testnet,2,350319821711751066353871,True
achuna.testnet,118071457236339585048415,0,True
cryptotrik.testnet,1,326921984523850766869029,True
ndeneeb.testnet,2,355137605214666379424529,True
molli72.testnet,2,517511007993376245023885710,True
ritesh_pratt.testnet,1,466589737041366691181763908,True
doluong888.testnet,1,517808050723632549917876233,True
tolikxalkav.testnet,1,517509012026167790288595656,True
th03cumeo.testnet,2,129448439651882015178895852,True
yserceylan.testnet,2,2588968793037640303577917102,True
reenuei.testnet,1,504146467079910864363276866,True
begboks1975.testnet,1,494738450871366333261763766,True
cryptoman2150.testnet,1,514780742205475207989721514,True
tuilathaico102.testnet,1,254958237138268205338592717,True
walletnear.testnet,2,129419800602729679174747517,True
kefirchik.testnet,2,513444739733341622977401970,True
abdrrhm.testnet,118980736467994728595968325,0,True
rustez3.testnet,108827994250489931251339712,0,True
cudam321.testnet,0,570766154666444904523025427,True
smr.testnet,20000000000000000000000003,460905980947419325668331539,True
adebbc.testnet,1,511630036030532190444140422,True
pengsinuo.testnet,178492791041854309191503,0,True
longlong541204.testnet,0,1636916915645857064514181,True
redlinehighway.testnet,1,245498147186724524700484612,True
daothang.testnet,491000000000000000000000003,6776943797229618935604157257,True
prudent.testnet,1,508901681727855029678791480,True
karthikeyan.testnet,1,654231678946861846056891,True
tinh1993.testnet,1,508904972730126736865245890,True
jhomari.testnet,206134836098861072829947576,0,True
mkoohest.testnet,2,126445574163659779484520440,True
yikang.testnet,1,270230498984055964895633513,True
mansoornasir.testnet,1,251702356825844255228210835,True
hassanraquib.testnet,1,502892391300103685597332262,True
ivay.testnet,1,507426287882603109198403038,True
muhammadshahid.testnet,2,451401477041150360861198594,True
trongtuan2903.testnet,2,698549288362743984401271,True
bobacon.testnet,0,53616255797516523478793176,True
abetdeui.testnet,2,396767732789714261241895,True
ianben1121.testnet,99773528212133763300000001,0,True
silkking.testnet,50009301385342060000590782,964384234340420650190388,True
lybit.testnet,1,495161964134653337835121870,True
workstrife.testnet,1,685134003586467792032628,True
yna.testnet,1,49335537694559363668090851,True
kubi.testnet,2,1812636743524925002265610382,True
him.testnet,1,933230856194017105648083434,True
kimihoo.testnet,2,491624711228965589440644139,True
mogu1.testnet,50000000000000000000000001,0,True
lucio.testnet,248071105070473651695892098,204305282186307556190714179,True
testing-pr-1889-2.testnet,1,4909962979027026625564129,True
phamhoa.testnet,1,225893389270229720057692370,True
fumdt123.testnet,2,606113130250550387276975,True
manas.testnet,2,478394083194219512955704650,True
minhminh12345.testnet,2,615205356102029098223128,True
hammady.testnet,1,475049175506829106343230252,True
balakumari.testnet,4,586065853780088620587894491,True
bsatoshi.testnet,1,466760384704169459246265054,True
bitcoinsothosi.testnet,1,23398750018741255141964138,True
tellhewn.testnet,7,8382054246369572808718472723,True
lethuongtam80.testnet,1,115222432250766954229716125,True
trumaubrvt10.testnet,1,61748302437528044530939153,True
den,2,22865016548667590763418110072,True
metatester.testnet,2,22816699180236678204783171,True
spacemanspliff.testnet,1,1811429620545104096306920,True
kien1981us.testnet,2,447514051910128153355007918,True
thewind93.testnet,2,561540555072926530847861,True
vietnam.testnet,104356676808398422117368348,0,True
gehenna.testnet,91988182187440102141647288,0,True
quangtuandev.testnet,2,429278376826062194848859158,True
tienphammanh2195.testnet,2,447628277699286179336312985,True
anhvinhdang2502.testnet,1,594571881411195276347934,True
jadyn.testnet,10000000000000000000000001,0,True
noisytest.testnet,2,218296166392192459554013921,True
sssx888.testnet,1790000000000000000000003,214593977217244334028306231,True
zain.testnet,2,436386187617678899198019360,True
kulan0v.testnet,1,611484874029069789443911,True
vidur.testnet,97890036918914136458217505,0,True
shirohae.testnet,1,593911239875147891279828,True
khanh30125.testnet,1,217006940532092166290381350,True
vasiliypan.testnet,180000000000000000000000006,374154975584023928989916044,True
obnoxious_alpaca.testnet,2,214748983676748154275685275,True
saqibmunir.testnet,1,161868450945183750475039772,True
mrvi.testnet,2,106975181629206059469553102,True
pace0206.testnet,1,584259202962547099296368,True
erkan.testnet,1,426669851594612718228215735,True
repulse18.testnet,2,458534282320843329391462018,True
d3nn1svz.testnet,149381917151425043263468914,0,True
minhtuxyz1.testnet,1,574078111981815077887902,True
shinoby.testnet,2,106074865107118581917160636,True
kalikat2.testnet,333000000000000000000000001,0,True
test-playwright-account-1630440180581-341.esaminu.testnet,2,212149730214237163834318,True
test-playwright-account-1630699423645-734.esaminu.testnet,100000000000000000000002,210817805464563845343806,True
test-playwright-account-1630700686615-114.esaminu.testnet,2,210817805464563845343806,True
test-playwright-account-1630701290409-834.esaminu.testnet,2,210817805464563845343806,True
test-playwright-account-1630701804436-647.esaminu.testnet,3,632453416393691536031423,True
beggers359.testnet,2,418041023047900030703395526,True
cliomen.testnet,275174142336398030482997756,0,True
ginnear.testnet,1,87253497970168758950895266,True
trumaubrvt9.testnet,1,61748302437528044530939153,True
meritocracy.testnet,1,20467846113432999401347121,True
test12321.testnet,199897319035075000000000001,0,True
yash7.testnet,1,755188329499327883716427,True
dimaa.testnet,2,194043071692322310216527060,True
test-playwright-account-1631908031824-193,100000000000000000000001,0,True
maslantest.testnet,1,203572491590973036003759557,True
fayyr18.testnet,2,50552858035823973882017659,True
chaostao.testnet,2,399335127050115684764512391,True
paulle1591.testnet,107257762260507173724945589,0,True
kfehjxrf77777.testnet,4,40233028574857407769242329,True
minhdoan1510.testnet,2,321288078931396080864307721,True
philip_132.testnet,2,167188457212107608251353133,True
romanforrer.testnet,2,396947514865741423685474719,True
mishaser.testnet,2,199791854243765350393106518,True
test-playwright-account-1632420481294-732,2,199439450727723099649866,True
itogo.testnet,1,19926448007946211753258591,True
dangkhoant2006.testnet,2,99542219794016039668234778,True
vivekshukla29.testnet,1,214427521402929366254069808,True
theblasian.testnet,2,71514919786743777453934336,True
huyen123.testnet,1,353694283883573348939718503,True
sudo.testnet,5017308549142360646282376,0,True
samson.testnet,78315721298414006514716145,0,True
reddeer.testnet,1,39540617834470267331826494,True
danghungthai41.testnet,2,197532063412709296092199039,True
satoshi_ng.testnet,2,197532063412709296092199039,True
pno08.testnet,2,197532063412709296092199039,True
ntbchamcoin.testnet,2,197362673007562791029047908,True
vuongtn.testnet,2,98431110512120762343228338,True
letrungkid.testnet,119095326347030627296978184,0,True
calin21994.testnet,1,196689014975947053956307053,True
lamngqu2.testnet,1,196689014975947053956307053,True
anhtuanoctopus.testnet,2,98344507487973526978153524,True
huy81.testnet,2,1965171662050600193338078,True
lamngqu3.testnet,1,19635208282313518882615975,True
lamngqu5.testnet,1,39270416564627037765231951,True
zerohuntphoto.testnet,1,78540833129254075530463903,True
vanglother.testnet,1,196352082823135188826159763,True
tuan85.testnet,1,391845394874891748509285985,True
nguyenduccuong99.testnet,2,19585545995267484980553989,True
thommy.testnet,3,195605239129073000781771415,True
twa-1635883803826-690.3.sdfsdffd.testnet,2,178023351369149137091658,True
testbinhow.testnet,1,97927729976337424902769961,True
dntvn111.testnet,1,193733545315638066137557129,True
neildang.testnet,1,195523005093584314695778662,True
vuvantuyen12a7.testnet,2,19552300509358431469577863,True
serge033.testnet,2,586569015280752944087332,True
test-playwright-account-1633029528199-495.e2ebot.testnet,2,195523005093584314695776,True
duovo.testnet,1,19518930010977077387806041,True
nxk17795.testnet,2,19502196730766236369576448,True
tithoson.testnet,200674114982690099065711756,0,True
test-playwright-account-1633119197515-374.e2ebot.testnet,2,195021967307662363695761,True
davero.testnet,2,292282214372105129087730360,True
tibaro.testnet,1,389608647349029851345745837,True
111120011.testnet,1,389562411008941390625897005,True
hoangphu0905.testnet,11798471375702038975490211,0,True
phamnhatvuong1.testnet,44000000000000000000000001,0,True
nkson612.testnet,1,17507073945581544993700626,True
duyle10787.testnet,43300761025560469137398188,0,True
mdd2.testnet,1,19419245778807390410201769,True
near113.testnet,2,194192457788073904102017712,True
xcf007.testnet,2,38838491557614780820403539,True
lamngqux.testnet,1,376414417531255604828286543,True
congcc97.testnet,2,19386484889072508701766304,True
urbanjem.testnet,1,387608708963425409281000867,True
retix.testnet,2,96851868105063667229273126,True
longcaumong.testnet,10049929298806675537295210,0,True
noodles1.testnet,2,96771452868489327802596369,True
vythimongtrinh.testnet,2,191607476679608869049140815,True
duyem08.testnet,14,26990968872251983919238708,True
kandratiy.testnet,2,544123495415436397859804,True
sntrading.testnet,2,19322160468725793333667506,True
oluwatosin.testnet,2,626375296028027661917643,True
aebobap.testnet,1,86949722109266070001503788,True
lyly24.testnet,20,38575513326638056039777554,True
thaibinhtri.testnet,2,77224557005669908306266832,True
chanchan68.testnet,13,21198585222617631038218764,True
vietnguyen2807.testnet,21,21176130656282113784220204,True
tuananhtn.testnet,2,96370695977496894559304456,True
kolismen.testnet,1,194401230865281113879325239,True
helen24.testnet,1000000000000000000000011,7670014751073147592888407,True
yehtuttin.testnet,1,1924231709219097542194,True
mymy68.testnet,8,7668425784985524448998718,True
jennie68.testnet,4,3848463418438195084391546,True
testnetkimquynh.testnet,1,96211585460954877109788789,True
kasseta.testnet,316801734778043467740546,0,True
skyruby68.testnet,6,7671573013923624786896223,True
suvadip.testnet,305665123082258921335721049,0,True
pratip.testnet,2,383793289894534226809175730,True
yogic.testnet,2,383793289894534226809175730,True
mrbi2021test.testnet,20000000000000000000000003,63320164734774815961550890,True
duonghovu1988.testnet,2,383158337290412073156561358,True
trunghoang_testnet.testnet,1,382804705037565419293090465,True
antesr.testnet,2,19147313585888089689343182,True
amazingbeerbelly-2.testnet,10153637991027593888493931,3422348030200581920718656,True
hostlime.testnet,2,189558404500292087924497527,True
muradz.testnet,2,65100866192019504943766826,True
lana68.testnet,2,1914731358588808968934315,True
anna01.testnet,4,3829462717177617937868630,True
victoria68.testnet,2,1914731358588808968934315,True
thth192195.testnet,10000000000000000000000001,0,True
